dias_anticipacion,citas_perdidas,probabilidad,prediccion,label
6,0,0.8021838885585817,1,1
19,2,0.28905049737499594,0,1
28,0,0.3100255188723875,0,0
14,1,0.5249791874789399,1,1
10,2,0.5,1,1
7,0,0.7858349830425586,1,1
28,2,0.14185106490048777,0,0
20,4,0.11920292202211755,0,0
6,0,0.8021838885585817,1,1
25,2,0.18242552380635635,0,0
18,1,0.4255574831883411,0,0
22,1,0.33181222783183384,0,0
10,1,0.6224593312018546,1,1
10,0,0.7310585786300049,1,1
23,0,0.4255574831883409,0,0
20,4,0.11920292202211755,0,0
3,2,0.6681877721681662,1,1
7,1,0.6899744811276125,1,1
23,1,0.3100255188723875,0,0
2,3,0.574442516811659,1,1
21,3,0.16798161486607552,0,0
20,2,0.2689414213699951,0,0
1,2,0.7109495026250039,1,1
23,3,0.14185106490048777,0,0
11,1,0.598687660112452,1,1
29,0,0.28905049737499594,0,0
5,1,0.7310585786300049,1,1
1,1,0.8021838885585817,1,1
27,4,0.06297335605699649,0,0
20,2,0.2689414213699951,0,0
0,5,0.3775406687981454,0,0
11,2,0.47502081252106,0,0
25,0,0.3775406687981454,0,0
21,3,0.16798161486607552,0,0
28,2,0.14185106490048777,0,0
11,3,0.35434369377420455,0,0
24,1,0.28905049737499594,0,1
16,8,0.026596993576865863,0,0
26,1,0.24973989440488234,0,0
26,2,0.16798161486607552,0,0
9,2,0.52497918747894,1,1
27,0,0.33181222783183384,0,0
27,3,0.09975048911968513,0,0
15,4,0.18242552380635635,0,0
14,0,0.6456563062257954,1,1
29,0,0.28905049737499594,0,0
29,3,0.08317269649392235,0,0
14,0,0.6456563062257954,1,1
29,0,0.28905049737499594,0,0
18,1,0.4255574831883411,0,0
11,1,0.598687660112452,1,1
22,2,0.23147521650098232,0,0
19,2,0.28905049737499594,0,0
24,2,0.1978161114414182,0,0
2,2,0.6899744811276125,1,1
4,2,0.6456563062257954,1,1
18,1,0.4255574831883411,0,0
6,1,0.7109495026250039,1,1
20,0,0.5,1,1
8,0,0.7685247834990175,1,0
6,0,0.8021838885585817,1,1
17,0,0.5744425168116589,1,1
3,1,0.7685247834990175,1,1
24,2,0.1978161114414182,0,0
27,1,0.23147521650098232,0,0
13,0,0.6681877721681662,1,1
17,0,0.5744425168116589,1,1
25,0,0.3775406687981454,0,0
8,1,0.6681877721681662,1,1
25,0,0.3775406687981454,0,0
20,0,0.5,1,1
1,1,0.8021838885585817,1,1
19,1,0.40131233988754794,0,0
27,1,0.23147521650098232,0,0
14,2,0.40131233988754794,0,0
27,2,0.15446526508353467,0,0
6,2,0.598687660112452,1,1
11,0,0.7109495026250039,1,1
28,0,0.3100255188723875,0,0
7,1,0.6899744811276125,1,1
14,2,0.40131233988754794,0,0
2,1,0.7858349830425586,1,1
13,1,0.5498339973124778,1,1
16,3,0.24973989440488234,0,0
3,2,0.6681877721681662,1,1
17,1,0.45016600268752205,0,0
7,0,0.7858349830425586,1,1
3,1,0.7685247834990175,1,1
1,1,0.8021838885585817,1,1
29,4,0.05215356307841772,0,0
5,0,0.8175744761936437,1,1
21,3,0.16798161486607552,0,0
9,0,0.7502601055951177,1,1
3,1,0.7685247834990175,1,1
21,2,0.24973989440488234,0,0
28,2,0.14185106490048777,0,0
17,0,0.5744425168116589,1,1
25,0,0.3775406687981454,0,0
11,1,0.598687660112452,1,1
1,0,0.8698915256370021,1,1
9,1,0.6456563062257954,1,1
29,1,0.1978161114414182,0,0
3,1,0.7685247834990175,1,1
13,1,0.5498339973124778,1,1
15,4,0.18242552380635635,0,0
14,0,0.6456563062257954,1,1
7,3,0.45016600268752205,0,0
13,1,0.5498339973124778,1,1
22,0,0.45016600268752205,0,0
27,1,0.23147521650098232,0,1
24,1,0.28905049737499594,0,0
29,0,0.28905049737499594,0,0
7,1,0.6899744811276125,1,1
20,1,0.3775406687981454,0,0
15,2,0.3775406687981454,0,0
12,1,0.5744425168116589,1,1
17,0,0.5744425168116589,1,1
14,3,0.28905049737499594,0,0
20,3,0.18242552380635635,0,0
23,1,0.3100255188723875,0,0
25,3,0.11920292202211755,0,0
24,2,0.1978161114414182,0,0
27,0,0.33181222783183384,0,0
27,3,0.09975048911968513,0,0
